lib_name,lib_code
B82-06伦理学流派及其研究,B82-06
B82-061人道主义,B82-061
B82-062享乐主义、利己主义,B82-062
B82-063人格主义,B82-063
B82-064功利主义、实用主义,B82-064
B82-065直观主义(直觉主义),B82-065
B82-066元伦理学(分析伦理学),B82-066
B82-067规范伦理学,B82-067
B82-069其他,B82-069
B82-09伦理学史,B82-09
B821人生观、人生哲学,B821
B821.1共产主义人生观,B821.1
B821.2非共产主义人生观,B821.2
B822国家道德,B822
B822.1国民公德,B822.1
B822.2集体公德,B822.2
B822.9职业道德(工作道德),B822.9
B822.98专业工作道德,B822.98
B823家庭、婚姻道德,B823
B823.1家庭道德,B823.1
B823.2婚姻道德,B823.2
B823.3恋爱道德,B823.3
B823.4性道德、生育道德,B823.4
B824社会公德,B824
B824.2友谊与同志关系,B824.2
B824.3公共秩序及纪律,B824.3
B824.5社会风尚,B824.5
B825个人修养,B825
B829其他伦理规范,B829
B83美学,B83
B83-0美学理论,B83-0
B83-02美学哲学基础,B83-02
B83-05美学与其他学科的关系,B83-05
B83-06美学流派及其研究,B83-06
B83-061抽象主义美学、印象主义美学、形式主义美学,B83-061
B83-062唯美主义美学、相对主义美学,B83-062
B83-064结构主义美学,B83-064
B83-066自然主义美学,B83-066
B83-069其他,B83-069
B83-09美学史,B83-09
B832美学与社会生产,B832
B832.1技术美学,B832.1
B832.2生产场所美学,B832.2
B832.3产品美学,B832.3
B832.5劳动美学,B832.5
B832.9其他,B832.9
B834美学与现实社会生活,B834
B834.2城市美学,B834.2
B834.3生活美学,B834.3
B834.4社会美学,B834.4
B835艺术美学,B835
B84心理学,B84
B84-0心理学理论,B84-0
B84-05心理学与其他学科的关系,B84-05
B84-06心理学派别及其研究,B84-06
B84-061构造学派,B84-061
B84-062机能主义派,B84-062
B84-063行为主义派,B84-063
B84-064格式塔心理学派(完形派),B84-064
B84-065精神分析学派,B84-065
B84-066存在主义心理学派,B84-066
B84-067人本主义学派,B84-067
B84-069其他,B84-069
B84-09心理学史,B84-09
B841心理学研究方法,B841
